trade_date;maturity_date;maturity;strike;spot;option_price;option_type;implied_vol;ticker
2026-03-06;2026-03-20;0.038356164383561646;365.0;408.96;1.38;put;0.43861987027257676;MSFT
2026-03-06;2026-03-20;0.038356164383561646;370.0;408.96;1.825;put;0.43108644072610136;MSFT
2026-03-06;2026-03-20;0.038356164383561646;372.5;408.96;1.99;put;0.4209184864074589;MSFT
2026-03-06;2026-03-20;0.038356164383561646;375.0;408.96;2.22;put;0.4135509067519009;MSFT
2026-03-06;2026-03-20;0.038356164383561646;377.5;408.96;2.515;put;0.4082855824971199;MSFT
2026-03-06;2026-03-20;0.038356164383561646;380.0;408.96;2.805;put;0.4009489227448554;MSFT
2026-03-06;2026-03-20;0.038356164383561646;382.5;408.96;3.175;put;0.395844232975617;MSFT
2026-03-06;2026-03-20;0.038356164383561646;385.0;408.96;3.525;put;0.3878955081497282;MSFT
2026-03-06;2026-03-20;0.038356164383561646;387.5;408.96;3.975;put;0.382507323845476;MSFT
2026-03-06;2026-03-20;0.038356164383561646;390.0;408.96;4.425;put;0.37507850042966;MSFT
2026-03-06;2026-03-20;0.038356164383561646;392.5;408.96;4.975;put;0.36954838259342315;MSFT
2026-03-06;2026-03-20;0.038356164383561646;395.0;408.96;5.55;put;0.3627473822260425;MSFT
2026-03-06;2026-03-20;0.038356164383561646;397.5;408.96;6.225;put;0.35727176537597183;MSFT
2026-03-06;2026-03-20;0.038356164383561646;400.0;408.96;6.925;put;0.35027604412363467;MSFT
2026-03-06;2026-03-20;0.038356164383561646;402.5;408.96;7.75;put;0.3449933600195348;MSFT
2026-03-06;2026-03-20;0.038356164383561646;405.0;408.96;8.625;put;0.3387292856354862;MSFT
2026-03-06;2026-03-20;0.038356164383561646;407.5;408.96;9.625;put;0.3337411974292695;MSFT
2026-03-06;2026-03-20;0.038356164383561646;410.0;408.96;10.05;call;0.3208153367484509;MSFT
2026-03-06;2026-03-20;0.038356164383561646;412.5;408.96;8.7;call;0.31462323495857425;MSFT
2026-03-06;2026-03-20;0.038356164383561646;415.0;408.96;7.5;call;0.31001825553002954;MSFT
2026-03-06;2026-03-20;0.038356164383561646;417.5;408.96;6.4;call;0.30537438407854745;MSFT
2026-03-06;2026-03-20;0.038356164383561646;420.0;408.96;5.4;call;0.30065678914680327;MSFT
2026-03-06;2026-03-20;0.038356164383561646;422.5;408.96;4.5;call;0.2958605533525869;MSFT
2026-03-06;2026-03-20;0.038356164383561646;425.0;408.96;3.75;call;0.2929129924992472;MSFT
2026-03-06;2026-03-20;0.038356164383561646;430.0;408.96;2.495;call;0.2859173457527012;MSFT
2026-03-06;2026-03-20;0.038356164383561646;435.0;408.96;1.625;call;0.2817825723715872;MSFT
2026-03-06;2026-03-20;0.038356164383561646;440.0;408.96;1.03;call;0.2789821232027114;MSFT
2026-03-06;2026-03-20;0.038356164383561646;445.0;408.96;0.65;call;0.2784719075454772;MSFT
2026-03-06;2026-03-20;0.038356164383561646;450.0;408.96;0.425;call;0.28150205806821593;MSFT
2026-03-06;2026-03-20;0.038356164383561646;455.0;408.96;0.28;call;0.28547321673214443;MSFT
2026-03-06;2026-03-20;0.038356164383561646;460.0;408.96;0.205;call;0.29446129734343296;MSFT
2026-03-06;2026-03-20;0.038356164383561646;465.0;408.96;0.145;call;0.3014335492715836;MSFT
2026-03-06;2026-03-20;0.038356164383561646;470.0;408.96;0.12;call;0.3146002126691342;MSFT
2026-03-06;2026-03-20;0.038356164383561646;475.0;408.96;0.095;call;0.3251943401126861;MSFT
2026-03-06;2026-03-20;0.038356164383561646;480.0;408.96;0.075;call;0.33509109335184095;MSFT
2026-03-06;2026-03-20;0.038356164383561646;485.0;408.96;0.06;call;0.34499023077630997;MSFT
2026-03-06;2026-03-20;0.038356164383561646;490.0;408.96;0.05;call;0.35597774879670147;MSFT
2026-03-06;2026-03-20;0.038356164383561646;495.0;408.96;0.055;call;0.3775987333183288;MSFT
2026-03-06;2026-03-20;0.038356164383561646;500.0;408.96;0.045;call;0.38673969981288914;MSFT
2026-03-06;2026-03-20;0.038356164383561646;505.0;408.96;0.04;call;0.39884182446765903;MSFT
2026-03-06;2026-03-20;0.038356164383561646;510.0;408.96;0.04;call;0.4154357542543411;MSFT
2026-03-06;2026-03-20;0.038356164383561646;515.0;408.96;0.03;call;0.41966291481637963;MSFT
2026-03-06;2026-03-20;0.038356164383561646;520.0;408.96;0.03;call;0.43542476392841345;MSFT
2026-03-06;2026-03-20;0.038356164383561646;525.0;408.96;0.03;call;0.4509744205474854;MSFT
2026-03-06;2026-03-20;0.038356164383561646;530.0;408.96;0.035;call;0.47327847416162494;MSFT
2026-03-06;2026-03-20;0.038356164383561646;535.0;408.96;0.13;call;0.5625876718454361;MSFT
2026-03-06;2026-03-20;0.038356164383561646;540.0;408.96;0.025;call;0.4880961858892441;MSFT
2026-03-06;2026-03-20;0.038356164383561646;545.0;408.96;0.205;call;0.6305441058554649;MSFT
2026-03-06;2026-03-20;0.038356164383561646;550.0;408.96;0.045;call;0.5465635623488426;MSFT
2026-03-06;2026-03-20;0.038356164383561646;555.0;408.96;0.04;call;0.5550250360288618;MSFT
2026-03-06;2026-03-20;0.038356164383561646;560.0;408.96;0.025;call;0.5452832548351287;MSFT
2026-03-06;2026-03-20;0.038356164383561646;565.0;408.96;0.01;call;0.5178174400157929;MSFT
2026-03-06;2026-03-20;0.038356164383561646;570.0;408.96;0.115;call;0.6670853220732214;MSFT
2026-03-06;2026-03-20;0.038356164383561646;575.0;408.96;0.05;call;0.6254777120628356;MSFT
2026-03-06;2026-03-20;0.038356164383561646;580.0;408.96;0.035;call;0.6183203877496719;MSFT
2026-03-06;2026-03-20;0.038356164383561646;585.0;408.96;0.25;call;0.7811316344842911;MSFT
2026-03-06;2026-03-20;0.038356164383561646;590.0;408.96;0.02;call;0.6143006513099671;MSFT
2026-03-06;2026-03-20;0.038356164383561646;595.0;408.96;0.13;call;0.7519992741303444;MSFT
2026-03-06;2026-03-20;0.038356164383561646;600.0;408.96;0.005;call;0.5749139099197387;MSFT
2026-03-06;2026-03-20;0.038356164383561646;605.0;408.96;0.05;call;0.7078989983739854;MSFT
2026-03-06;2026-03-20;0.038356164383561646;610.0;408.96;0.03;call;0.6881388704900742;MSFT
2026-03-06;2026-03-20;0.038356164383561646;620.0;408.96;0.005;call;0.6199845490989684;MSFT
2026-03-06;2026-03-20;0.038356164383561646;630.0;408.96;0.005;call;0.6418618335418701;MSFT
2026-03-06;2026-03-20;0.038356164383561646;640.0;408.96;0.005;call;0.6633290381107331;MSFT
2026-03-06;2026-03-20;0.038356164383561646;650.0;408.96;0.025;call;0.7734116424369815;MSFT
2026-03-06;2026-03-20;0.038356164383561646;660.0;408.96;0.115;call;0.9182914314236642;MSFT
2026-03-06;2026-03-20;0.038356164383561646;680.0;408.96;0.025;call;0.8408507082338335;MSFT
2026-03-06;2026-03-20;0.038356164383561646;700.0;408.96;0.005;call;0.7842644539871217;MSFT
2026-03-06;2026-03-20;0.038356164383561646;720.0;408.96;0.01;call;0.8625324894809725;MSFT
2026-03-06;2026-03-20;0.038356164383561646;740.0;408.96;0.005;call;0.8583267865867616;MSFT
